"","PL_Index","LP_Index","Pivot_Energy","PLEC_Flux_Density","LP_Flux_Density","PL_Flux_Density","Frac2_Variability","nuFnu_Band7","PLEC_Index","Flux_Band2","Flux_Band7","nuFnu_Band2","Frac_Variability","PLEC_Expfactor","Variability2_Index","Variability_Index","nuFnu_Band6","Flux_Band3","Npred","Flux_Band6","nuFnu_Band3","Flux_Band1","nuFnu_Band1","LP_beta","LP_SigCurv","Energy_Flux100","PLEC_SigCurv","Flux_Band4","nuFnu_Band4","nuFnu_Band5","Flux_Band5","Flux1000","Signif_Avg","PLEC_Exp_Index","Source_Name","ASSOC_FGL","CLASS1","ASSOC1"
"1",2.19836330413818,2.17327356338501,2365.88256835938,2.62045075173417e-14,2.69756988285647e-14,2.58192227228218e-14,0,1.33737964279346e-13,2.16304445266724,7.48236325329166e-13,2.70961551807058e-12,1.76338310044495e-16,0.652947664260864,0.000131059161503799,49.0646705627441,17.288631439209,8.19383013587853e-14,5.59295998403542e-10,204.544219970703,3.47679480691698e-12,3.75176886086015e-13,7.15117895455641e-11,1.13664520097522e-14,0.0246235206723213,0.20407746732235,1.63079836093538e-12,0.136760696768761,1.24366683618149e-10,2.93097414828108e-13,1.7149918095892e-13,2.55662886694541e-11,1.42526102031582e-10,4.19692993164062,0.666666686534882,"4FGL J0001.2+4741 ","                  ","bcu","B3 2358+474                 "
"4",1.83359384536743,1.79558861255646,3475.90307617188,2.50912588910289e-14,2.5478740889014e-14,2.43663426837803e-14,0,1.06124289044052e-12,1.75891768932343,2.93675950224781e-09,1.85497849719551e-11,7.17425630621799e-13,0.40142947435379,0.000185686585609801,51.6843223571777,13.7505350112915,6.13081959331685e-13,2.98172153634368e-10,241.042724609375,2.50963191200659e-11,2.08794800568048e-13,1.0302515285332e-08,1.66142306076006e-12,0.0250630453228951,0.403035849332809,3.38648033226807e-12,0.525523841381073,1.54955034914472e-10,3.78542141209193e-13,6.20093548991257e-13,8.85532758232443e-11,2.80893197590615e-10,11.4640169143677,0.666666686534882,"4FGL J0001.6-4156 ","3FGL J0002.2-4152 ","bcu","1RXS J000135.5-415519       "
"5",1.80198884010315,1.69024360179901,4380.8369140625,1.57365914461687e-14,1.63484253668271e-14,1.31245874763911e-14,0.565645754337311,4.54174539773686e-13,1.3694920539856,7.10234926426523e-10,7.83348299421283e-12,1.740509185345e-13,0.275021851062775,0.00134442176204175,68.8415298461914,10.018328666687,8.3373699654235e-13,1.88813339963012e-10,206.597640991211,3.40216084471212e-11,1.32715602288273e-13,1.91928926085438e-08,3.09902190714917e-12,0.131300300359726,2.05981969833374,2.82175259720685e-12,2.22405624389648,1.47832454611141e-10,3.62279732038159e-13,4.10777016785283e-13,5.84408979542594e-11,2.28612587194199e-10,11.5581846237183,0.666666686534882,"4FGL J0002.1-6728 ","3FGL J0002.0-6722 ","bcu","SUMSS J000215-672653        "
"6",1.84543097019196,1.76016533374786,3921.0859375,2.29170066305901e-14,2.34727093718998e-14,2.08524841003362e-14,0,6.68713077533328e-13,1.60062599182129,3.0676809981145e-09,1.17469688490357e-11,7.48527270982152e-13,0,0.000689063803292811,59.1865768432617,5.56784200668335,7.76644590652631e-13,4.3228720603139e-10,271.997680664062,3.18291400180915e-11,3.02282179322211e-13,2.36939027425942e-11,3.81916737411713e-15,0.0714260786771774,1.25882482528687,3.59727438808966e-12,1.53071844577789,1.80419693074363e-10,4.40231754045631e-13,5.71856798026182e-13,8.17799994390356e-11,3.00805019781691e-10,13.5302438735962,0.666666686534882,"4FGL J0003.1-5248 ","3FGL J0003.2-5246 ","bcu","RBS 0006                    "
"8",2.24052262306213,2.01114749908447,1064.30810546875,4.63425305075038e-13,4.67424655838794e-13,3.53609150424358e-13,0.526859045028687,6.15079062698019e-17,1.03171503543854,1.01517438899634e-09,2.18471904656807e-15,2.73127332382772e-13,0.75762665271759,0.0124001931399107,77.2828826904297,42.141414642334,8.55481050582307e-14,1.03484509850205e-09,324.630859375,4.16746845366411e-12,7.45970830679649e-13,5.54795012014386e-12,9.50806553512451e-16,0.316017389297485,3.35640239715576,2.591246011166e-12,3.31346774101257,3.09001324527713e-10,7.1978198141337e-13,4.29083092841342e-13,7.02070485081308e-11,3.90283666495961e-10,12.2782030105591,0.666666686534882,"4FGL J0003.3-1928 ","                  ","bcu","PKS 0000-197                "
"9",2.36324572563171,2.33700251579285,1240.82653808594,1.15537110044125e-13,1.11252912264603e-13,1.07605486749773e-13,0,4.00800075685749e-17,2.05915546417236,3.82477471916332e-09,8.63781859115952e-16,8.87152764444954e-13,0,0.00208961614407599,35.3220558166504,3.4409499168396,4.52854353110364e-17,3.76206066299289e-10,276.933929443359,1.95238743825688e-15,2.47617058151198e-13,4.07851086237088e-10,6.44062914437714e-14,0.0256218425929546,0.280140697956085,1.67566080368914e-12,0.881497144699097,1.1309730929554e-10,2.62328082433622e-13,2.57813708532881e-13,3.91697854706941e-11,1.31235702860444e-10,5.89674186706543,0.666666686534882,"4FGL J0003.3-5905 ","                  ","bcu","PMN J0003-5905              "
"11",2.10191655158997,1.68773424625397,2233.73803710938,5.73506018608332e-14,6.05015237670377e-14,4.57110647348203e-14,0,6.88958981011345e-14,1.08046460151672,3.01167291105742e-09,1.3442100080599e-12,7.16482103681193e-13,0.329378426074982,0.00537854665890336,62.179988861084,9.03728675842285,7.18448534713957e-14,2.81159567849798e-10,234.996307373047,3.0199384659646e-12,1.90734919720305e-13,1.95811704628568e-08,3.1242311255425e-12,0.353446424007416,1.9199413061142,2.48675559311184e-12,2.0067822933197,1.64003366442955e-10,3.90166794272256e-13,5.46520294297803e-13,8.05617517141144e-11,2.23295368306786e-10,6.79107141494751,0.666666686534882,"4FGL J0004.0+0840 ","3FGL J0004.2+0843 ","bcu","SDSS J000359.23+084138.1    "
"15",2.09460353851318,1.90118181705475,2459.68676757812,3.49136308243087e-14,3.51795043020565e-14,2.95840148168899e-14,0,1.7573060360951e-16,1.48020040988922,1.14941156592607e-09,3.41869400830356e-15,2.73643033146115e-13,0,0.00294802337884903,33.387020111084,2.41560983657837,2.60034371422566e-13,3.72800346148949e-10,184.509719848633,1.09224972816291e-11,2.53119519701833e-13,3.05024443203461e-11,4.86816219863353e-15,0.167327851057053,1.05551445484161,1.96877063263212e-12,1.32866108417511,1.30787575214342e-10,3.11368986150029e-13,3.2718779400219e-13,4.81889840531213e-11,1.76935091578123e-10,6.1452431678772,0.666666686534882,"4FGL J0006.4+0135 ","3FGL J0006.2+0135 ","bcu","NVSS J000626+013611         "
"16",2.15678477287292,1.93342626094818,1874.17395019531,1.3153445888904e-13,1.3494268907583e-13,1.08974095480892e-13,0,5.84254210258455e-17,1.3994916677475,2.36587549551359e-09,1.16480201609796e-15,5.59833863295056e-13,0.419813483953476,0.00456018187105656,57.9190979003906,17.8655338287354,2.65594702264157e-13,1.12054132639372e-09,481.592041015625,1.12241162544824e-11,7.55304510342142e-13,1.27515615844231e-08,2.03013278930742e-12,0.222598075866699,2.55806922912598,4.09589289568357e-12,2.85422968864441,2.41840825143669e-10,5.72264620673363e-13,7.72053319712807e-13,1.14538920015228e-10,3.63456903462733e-10,11.1064805984497,0.666666686534882,"4FGL J0007.7+4008 ","3FGL J0007.9+4006 ","bcu","NVSS J000741+400830         "
"18",2.56853032112122,2.40229749679565,830.423583984375,5.59832345412015e-13,5.71774073400422e-13,3.50848121171907e-13,0,3.77596911939158e-19,0.474051892757416,1.72986680535558e-10,1.35846871111043e-17,4.98667066298718e-14,0,0.0305955372750759,43.5361251831055,2.45967316627502,2.55613314718107e-16,1.02635233645287e-09,241.720626831055,1.34850711462154e-14,7.21650224386888e-13,2.88009682769541e-09,4.99241544372336e-13,0.724503934383392,3.06520843505859,1.37216811264135e-12,3.06617903709412,1.31064770148015e-10,2.75571069869446e-13,3.32223940198439e-14,6.36381615806703e-12,1.60832486217899e-10,5.73029279708862,0.666666686534882,"4FGL J0008.0-3937 ","                  ","bcu","PMN J0008-3945              "
"20",2.19951820373535,2.15567564964294,1717.28784179688,1.30001098861549e-13,1.27465136427578e-13,1.20006489554708e-13,0,2.40461337894716e-17,1.93849432468414,5.72720493252632e-09,4.87406633591325e-16,1.34959003608021e-12,0.0250416193157434,0.0014557585818693,41.8369483947754,7.88864088058472,5.68433321246342e-13,7.28253124471223e-10,416.110809326172,2.41223915842248e-11,4.88448149114917e-13,4.54852244757831e-09,7.22932564506396e-13,0.0427187457680702,0.648841679096222,3.74833237365424e-12,1.29262256622314,2.76626888062736e-10,6.51858775291281e-13,4.92956261748112e-13,7.34974511806818e-11,3.27428112401051e-10,10.041937828064,0.666666686534882,"4FGL J0008.4+1455 ","3FGL J0008.3+1456 ","bcu","NVSS J000825+145635         "
"26",2.49462938308716,2.51731014251709,892.482971191406,2.09492796374167e-13,1.9883348982043e-13,2.08646170002727e-13,0,1.10512463167168e-13,2.46328830718994,1.21286125587261e-09,2.49512064655344e-12,2.77826129073053e-13,0.396632879972458,0.000213766048545949,38.7787780761719,10.3809385299683,8.52569019072283e-14,5.0281984131928e-10,247.943496704102,3.72192467817944e-12,3.26072908908223e-13,1.03895182387848e-11,1.63225440633655e-15,-0.0342875048518181,0.328375697135925,1.53723008714662e-12,0.056829459965229,1.02185940265009e-10,2.3407396355403e-13,8.47148685836213e-14,1.30634340150815e-11,1.05044063725135e-10,4.21736812591553,0.666666686534882,"4FGL J0010.8-2154 ","                  ","bcu","PKS 0008-222                "
"28",1.9738963842392,1.84979546070099,3578.9921875,1.02302818248538e-14,1.07318828777565e-14,8.92429339249216e-15,0,1.76004854137227e-13,1.59011363983154,3.03336777918162e-09,3.26116152311873e-12,7.30791349743548e-13,1.11914122104645,0.0013858083402738,37.9223098754883,20.669002532959,2.57125700939276e-13,2.05546746290253e-10,113.607551574707,1.06727699594744e-11,1.41556525615899e-13,8.64282334589461e-09,1.38601174808073e-12,0.140124961733818,1.0242977142334,1.26264070813425e-12,1.0211409330368,5.06078547124478e-11,1.21923169260282e-13,2.35870459448784e-13,3.42495025396072e-11,1.12273218499936e-10,5.02404308319092,0.666666686534882,"4FGL J0011.8-3142 ","                  ","bcu","SUMSS J001141-314220        "
"29",2.47478532791138,2.47369647026062,1733.19714355469,1.66732621632859e-13,1.65511959064439e-13,1.6330003755477e-13,0.829657077789307,1.85029688646492e-15,2.42598795890808,1.26330510497041e-08,4.1489659201744e-14,2.89924898325133e-12,0.35219794511795,0.000313399184960872,93.0592956542969,13.2958526611328,3.34983587093121e-13,2.05815742226889e-09,722.441162109375,1.45964178244196e-11,1.33766836583199e-12,5.65422764164936e-10,8.8900119362377e-14,0.00823744665831327,0.165378510951996,6.17179831546855e-12,0.353771507740021,3.31699973044053e-10,7.61241872489216e-13,4.80911317712884e-13,7.39937625060527e-11,4.31555985391796e-10,7.80820083618164,0.666666686534882,"4FGL J0012.0+7043 ","3FGL J0012.4+7040 ","bcu","TXS 0008+704                "
"36",2.34526467323303,2.32985067367554,1877.67150878906,1.28586757127541e-13,1.27494220150855e-13,1.24482469146016e-13,0.635394036769867,2.64482497447134e-17,2.22366666793823,8.83514950089648e-09,5.66271965486042e-16,2.05284162065056e-12,0.494361639022827,0.000704546284396201,90.5446090698242,19.9364643096924,4.74420904037626e-13,1.94374538686759e-09,628.891357421875,2.04184256308304e-11,1.28199241587051e-12,1.64612865005687e-10,2.6013403331914e-14,0.0230472926050425,0.339711368083954,5.08929964143645e-12,0.701278626918793,2.07809741636922e-10,4.82844721236969e-13,6.52647315531329e-13,9.89538034845694e-11,4.04823757849115e-10,10.8607664108276,0.666666686534882,"4FGL J0014.3-0500 ","3FGL J0014.3-0455 ","bcu","GALEXASC J001420.46-045929.1"
"38",2.00772738456726,1.65899896621704,3743.15673828125,6.58285004197928e-14,6.86451424674293e-14,5.39212636129979e-14,0,3.00315897367245e-13,1.09416854381561,2.0074464313069e-09,8.79649738466659e-12,5.85470962075757e-13,0,0.00327794044278562,37.8796005249023,3.54263401031494,1.71960785454867e-12,7.35145833097306e-10,364.524993896484,7.5158781975837e-11,5.96065894125503e-13,3.6484070875531e-08,6.32421979368525e-12,0.27680915594101,3.49346566200256,5.62521687216821e-12,3.69420218467712,3.83490600386338e-10,9.94835941056649e-13,1.41780023051735e-12,2.0334410544276e-10,6.89328316649807e-10,14.0480985641479,0.666666686534882,"4FGL J0014.8+6118 ","3FGL J0014.6+6119 ","bcu","4C +60.01                   "
"39",2.67687797546387,2.42882466316223,403.670227050781,5.67062456019451e-12,5.90852323664737e-12,4.50278833316609e-12,0,9.59535333913024e-17,1.70816898345947,5.9619611469941e-09,3.45209061158966e-15,1.44740426241685e-12,0,0.0181861072778702,35.1738662719727,4.79768514633179,1.80213406368845e-17,2.11224215895811e-09,712.782409667969,9.39751714759598e-16,1.35068312871051e-12,2.58698773514254e-09,4.25619039795197e-13,0.314640313386917,3.08076119422913,4.02947553795885e-12,3.0005464553833,1.83757509208959e-10,3.9023677952249e-13,7.85745912237033e-14,1.41109233672831e-11,2.23608159766187e-10,9.80022144317627,0.666666686534882,"4FGL J0014.9+3212 ","                  ","bcu","3C 6                        "
"42",2.16280174255371,2.22325921058655,2312.88623046875,4.17122120264374e-14,3.80599109899623e-14,4.12394253403343e-14,0,2.94546559451853e-13,2.11113381385803,5.81773695884635e-09,5.88604035303697e-12,1.37583520964935e-12,0.34824001789093,0.000172056097653694,50.076961517334,12.5606241226196,1.55389156403229e-13,6.99081903476895e-10,278.501861572266,6.57065070755469e-12,4.70888248099016e-13,1.51594665709354e-08,2.41291296838864e-12,-0.0491171590983868,0.879876911640167,2.44432317268728e-12,0.205689176917076,8.93650708988503e-11,2.11339233331491e-13,4.55422808839923e-13,6.76121797438256e-11,2.16495765759106e-10,8.17024803161621,0.666666686534882,"4FGL J0015.9+2440 ","                  ","bcu","GB6 J0016+2440              "
"45",2.3924777507782,2.37049889564514,1008.64367675781,4.78865861894273e-13,4.86878712260136e-13,4.63508734432211e-13,0,1.59315960489119e-13,2.3008759021759,4.49480008768433e-09,3.46995522593208e-12,1.03965241363829e-12,0.370117783546448,0.000780357164330781,62.0130310058594,23.6768455505371,2.07280170133085e-13,1.60608470967105e-09,587.228393554688,8.96148519974327e-12,1.05360642085883e-12,1.15602744391041e-11,1.82346140038825e-15,0.0364026017487049,0.660649061203003,4.4512835258026e-12,0.686057686805725,2.47603770819893e-10,5.72710336186472e-13,4.57858306390085e-13,6.9794496571074e-11,3.3935232401916e-10,10.7200918197632,0.666666686534882,"4FGL J0017.0-0649 ","3FGL J0017.2-0643 ","bcu","PMN J0017-0650              "
"49",2.2656466960907,2.24942970275879,1436.74682617188,1.18320067285516e-13,1.1701589404476e-13,1.13268857455332e-13,0.607478678226471,2.70507350156725e-17,2.12727189064026,1.69412461836771e-09,5.62296945743696e-16,3.96660514764141e-13,0.605465531349182,0.00096658943220973,69.348274230957,22.9396343231201,2.40698493038025e-13,7.64087015880932e-10,358.307952880859,1.0280158668774e-11,5.08577609279609e-13,1.55324489381492e-10,2.46226125019721e-14,0.024249630048871,0.373999089002609,2.40534111725643e-12,0.712256371974945,1.42960157600847e-10,3.34725357240689e-13,3.2357832233966e-13,4.86144041689229e-11,2.02867139753593e-10,8.95390701293945,0.666666686534882,"4FGL J0019.2-5640 ","3FGL J0019.1-5645 ","bcu","PMN J0019-5641              "
