"","PL_Index","LP_Index","Pivot_Energy","PLEC_Flux_Density","LP_Flux_Density","PL_Flux_Density","Frac2_Variability","nuFnu_Band7","PLEC_Index","Flux_Band2","Flux_Band7","nuFnu_Band2","Frac_Variability","PLEC_Expfactor","Variability2_Index","Variability_Index","nuFnu_Band6","Flux_Band3","Npred","Flux_Band6","nuFnu_Band3","Flux_Band1","nuFnu_Band1","LP_beta","LP_SigCurv","Energy_Flux100","PLEC_SigCurv","Flux_Band4","nuFnu_Band4","nuFnu_Band5","Flux_Band5","Flux1000","Signif_Avg","PLEC_Exp_Index","Source_Name","ASSOC_FGL","CLASS1","ASSOC1"
"2",2.14832615852356,2.11258792877197,1272.35791015625,6.03848676790364e-13,6.16816493714811e-13,5.77526199606326e-13,0.359934419393539,3.84813871306261e-13,2.02455496788025,6.87284584799386e-09,7.64654832507983e-12,1.627655584098e-12,0.211933150887489,0.00087994453497231,74.5893096923828,16.8691940307617,6.42033518363783e-13,2.66226085621213e-09,964.353759765625,2.71101422560927e-11,1.79627558487272e-12,8.45967385032509e-09,1.34728675698498e-12,0.0472781099379063,1.41761803627014,9.44017780613038e-12,1.3473072052002,5.64167934591353e-10,1.3360856475006e-12,1.49515610396028e-12,2.21597157290532e-10,8.3974122100372e-10,22.7484359741211,0.666666686534882,"4FGL J0001.2-0747 ","3FGL J0001.2-0748 ","bll","PMN J0001-0746              "
"3",2.68017053604126,2.5975513458252,376.395751953125,2.77060700770715e-11,2.85448175513237e-11,2.45688400180022e-11,1.51657927036285,1.31238441123356e-17,2.255934715271,3.66301478038622e-08,4.36766477672151e-16,8.49261806712409e-12,1.26604843139648,0.00839143339544535,1405.22924804688,920.677429199219,1.59392542431946e-16,7.970705873106e-09,3110.884765625,7.73931801620591e-15,5.04823613467487e-12,6.07607404390365e-08,9.69427836616799e-12,0.148001775145531,5.09122562408447,1.92603502591204e-11,5.13367938995361,9.52972922796391e-10,2.07537351019915e-12,3.67264107580673e-13,6.21616647045187e-11,9.6792707182658e-10,30.6660461425781,0.666666686534882,"4FGL J0001.5+2113 ","3FGL J0001.4+2120 ","fsrq","TXS 2358+209                "
"7",2.27570605278015,0.438923835754395,2339.04296875,2.89831296441077e-14,2.35200652899149e-14,2.6846195961259e-14,0,5.13634079052046e-19,0.000748921243939549,5.67087088398921e-09,1.07172481468963e-17,1.32648080887476e-12,0,0.0105337630957365,37.3723297119141,4.73511743545532,7.85879336866885e-14,5.78100567416584e-10,212.165908813477,3.35973198047068e-12,3.84339072069875e-13,1.27744597122614e-08,2.02425207672385e-12,0.999646544456482,1.71671950817108,1.73230266936608e-12,1.68687796592712,1.70487547690445e-11,3.98789650661677e-14,4.24621709321782e-13,6.38691391441348e-11,1.45164463782876e-10,4.19924783706665,0.666666686534882,"4FGL J0003.2+2207 ","                  ","bll","2MASX J00032450+2204559     "
"10",2.12771463394165,2.0007016658783,1680.015625,1.39108410662954e-13,1.44171390862972e-13,1.07922690424124e-13,0,1.28145443208683e-21,1.34565854072571,1.28769050977695e-09,2.52583105867148e-20,3.05571079507391e-13,0,0.00594863761216402,44.7647972106934,4.72314453125,3.11040147631114e-13,7.00282887233783e-10,327.235534667969,1.3107374560728e-11,4.73631496435839e-13,3.21490962107082e-13,5.12424062708391e-17,0.262290745973587,2.76697373390198,3.21110152357029e-12,2.7309045791626,2.60364202420149e-10,6.17848491552692e-13,4.29829484721936e-13,6.3551983120469e-11,2.87076057370328e-10,10.2339448928833,0.666666686534882,"4FGL J0003.9-1149 ","3FGL J0003.8-1151 ","bll","PMN J0004-1148              "
"12",2.41498947143555,2.35634064674377,845.399230957031,1.1086034434199e-12,1.12059070789955e-12,1.03209270557042e-12,0.880502760410309,4.06430594853724e-17,2.16155505180359,9.34399579932688e-09,8.9237747965702e-16,2.1566385829952e-12,0.832656443119049,0.00263953651301563,195.153015136719,123.413032531738,1.3525596929357e-13,2.15860107566357e-09,1063.81323242188,5.8601903711597e-12,1.41245023489722e-12,2.87041235225161e-08,4.52365532185861e-12,0.0776294395327568,1.64791059494019,6.5130097495758e-12,2.10428881645203,4.01348870804341e-10,9.26332253091411e-13,5.96871131079008e-13,9.12178527157081e-11,4.85662454696723e-10,19.2054176330566,0.666666686534882,"4FGL J0004.4-4737 ","3FGL J0004.7-4740 ","fsrq","PKS 0002-478                "
"13",2.66679644584656,2.63166379928589,544.747131347656,4.43030768321195e-12,4.49680570557831e-12,3.82378677332706e-12,0.391513466835022,1.8851515643255e-17,2.19985103607178,1.64526756663008e-08,4.50628568900662e-16,3.708562103244e-12,0.32257279753685,0.00821338500827551,79.0274047851562,23.2720050811768,1.01281957199848e-14,3.49959417000889e-09,1428.42260742188,4.49327559751481e-13,2.22658133250397e-12,3.33789280659857e-08,5.20904456721705e-12,0.154946371912956,2.53086280822754,8.3591545144146e-12,2.52163457870483,3.94535293324338e-10,8.89313525164609e-13,2.31572139935965e-13,3.6396986119458e-11,4.54059484455982e-10,14.6597700119019,0.666666686534882,"4FGL J0005.9+3824 ","3FGL J0006.4+3825 ","fsrq","S4 0003+38                  "
"14",2.1706006526947,2.06297659873962,2028.58337402344,4.2050947278308e-14,4.36256323492305e-14,3.18776140195969e-14,0,2.41494188694774e-17,1.35170412063599,9.26394738698377e-10,4.84054130125652e-16,2.1891630218665e-13,0.614334106445312,0.00570663437247276,47.0427589416504,18.2059764862061,1.50203525832449e-13,3.29313992741831e-10,149.320755004883,6.35620809458226e-12,2.21618337288391e-13,6.20556495078972e-09,9.87427262351404e-13,0.274217814207077,1.43845617771149,1.42504779677977e-12,1.42298173904419,6.73720038091297e-11,1.59206767777822e-13,2.72145478895369e-13,4.04394816244658e-11,1.25890589619537e-10,4.12491989135742,0.666666686534882,"4FGL J0006.3-0620 ","                  ","bll","CGRaBS J0006-0623           "
"17",2.05257678031921,1.93463540077209,1403.92346191406,1.06922836470152e-12,1.09871009859597e-12,1.01928979579641e-12,0.124993786215782,9.24364642988784e-13,1.81580936908722,6.66590294073899e-09,2.16498225596995e-11,1.6664393389515e-12,0.0170275457203388,0.00128373689949512,54.2796936035156,7.43125867843628,2.88244515062042e-12,4.22406642996975e-09,1864.45397949219,1.23917973104959e-10,2.97503514878894e-12,3.55600171531023e-08,5.82072237631515e-12,0.0793988257646561,3.55820822715759,1.82660431918835e-11,4.02665901184082,1.3695038436623e-09,3.30130063910805e-12,3.53117209951626e-12,5.23506848981725e-10,2.05317896018187e-09,42.1629905700684,0.666666686534882,"4FGL J0008.0+4711 ","3FGL J0008.0+4713 ","bll","MG4 J000800+4712            "
"19",1.68395125865936,1.48098754882812,6084.11474609375,8.35857109844932e-15,8.52573813278764e-15,6.67579234147936e-15,0,4.42753445668506e-13,1.03231513500214,1.06645436925845e-09,7.26184997551504e-12,2.64441517728448e-13,0.225607499480247,0.00155214197002351,41.5191192626953,10.5847806930542,1.31732428784725e-12,1.60656085657074e-10,128.712951660156,5.31257850211464e-11,1.14529371229855e-13,1.30483904930978e-11,2.11683507331804e-15,0.162816971540451,1.84021687507629,2.6925013867779e-12,2.2756335735321,9.10387876196239e-11,2.25742737220216e-13,2.84837827152842e-13,3.99556290830994e-11,1.95451030360339e-10,10.5199432373047,0.666666686534882,"4FGL J0008.4-2339 ","3FGL J0008.6-2340 ","bll","RBS 0016                    "
"21",2.11713862419128,2.08672022819519,1872.11108398438,1.43540954404726e-13,1.47210341789814e-13,1.36905555793952e-13,0,4.92068733849715e-13,1.99910068511963,1.09772324563551e-09,9.65863847235404e-12,2.60761193453946e-13,0.231100112199783,0.000614742166362703,63.6722412109375,11.2904376983643,6.70998575712928e-13,1.5268998287965e-09,489.3896484375,2.82469429790932e-11,1.03398550572315e-12,4.49835616889507e-13,7.1729284454891e-17,0.0451215393841267,0.981381297111511,5.13099372018155e-12,1.03056514263153,2.79196277208626e-10,6.63223274043057e-13,7.72023775203606e-13,1.14005756224334e-10,4.59659060814133e-10,13.0523643493652,0.666666686534882,"4FGL J0009.1+0628 ","3FGL J0009.1+0630 ","bll","TXS 0006+061                "
